256192	1	0.192127	0.192127	0.000004	0.00056364	0.00008052	0.21166372
256192	2	0.09941956	0.04970972	0.000008	0.00025468	0.00016936	0.12728996
256192	4	0.05279976	0.01319988	0.000017	0.00012712	0.0002462	0.07323768
256192	8	0.030443	0.00380544	0.00003964	0.0000784	0.00032528	0.05135444
256192	16	0.021541	0.00134624	0.00011224	0.00002796	0.0003624	0.04857684
256192	24	0.01839908	0.0007666	0.00021388	0.00001996	0.00040832	0.05441952
256192	48	0.02414524	0.00050292	0.00113184	0.00001016	0.00602652	0.06549936
256192	72	0.02432244	0.00033784	0.00251612	0.00000904	0.0039056	0.06391364
256192	96	0.02589492	0.00026976	0.00470816	0.00000316	0.0042748	0.06572416
256192	120	0.02662932	0.00022196	0.00726252	0.00000308	0.00443784	0.06837304
