768768	1	2.695167	2.688732	0.000005	0.005593	0.000841	2.919526
768768	2	1.371333	0.683268	0.000009	0.003135	0.001662	1.701011
768768	4	0.720843	0.179373	0.000019	0.001521	0.00183	1.224634
768768	8	0.375629	0.046581	0.00004	0.000922	0.002056	1.122054
768768	16	0.202434	0.012482	0.000087	0.000383	0.002341	1.040076
768768	24	0.13864	0.00567	0.000133	0.000216	0.002336	0.874566
768768	48	0.13548	0.002665	0.0005	0.000109	0.007429	1.686023
768768	72	0.094055	0.001161	0.000729	0.000109	0.010344	1.561183
768768	96	0.084899	0.000776	0.001163	0.000075	0.010361	1.506801
768768	120	0.13915	0.001074	0.003138	0.000133	0.010145	1.033056
